rho,trial,q,sat_seed,size_null_seed,checkpoint_swaps_per_edge,rewire_seed,stage_successful_swaps,stage_attempted_swaps,cumulative_successful_swaps,cumulative_attempted_swaps,stage_acceptance_rate,clustering,degree_sequence_sha256,size_sequence_sha256,sat_degree_sequence_sha256,sat_size_sequence_sha256
3.0,5,468,1126769158,402627936,50,3468152124,14040,14070,23400,23453,0.997867803837953,0.22426289716775738,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b
3.0,5,468,1126769158,402627936,100,2737816289,23400,23452,46800,46905,0.9977827050997783,0.22728293556793255,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b
3.0,5,468,1126769158,402627936,200,1973169247,46800,46924,93600,93829,0.9973574290341829,0.22701097615535915,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b,b6a83b1268835cbec79e96e68e2f71241bc4e6c4d7fc5cffe264a5e6e4a6b916,06b205ac2d1796aca9232866e395675fa57dee891d7663a138ac2c8fe061e92b
3.0,6,464,1379450122,660912329,20,1747678996,9280,9309,9280,9309,0.9968847352024922,0.2450801562312717,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d
3.0,6,464,1379450122,660912329,50,278286108,13920,13947,23200,23256,0.99806409980641,0.23661740244582183,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d
3.0,6,464,1379450122,660912329,100,1536341502,23200,23250,46400,46506,0.9978494623655914,0.23923264182445234,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d
3.0,6,464,1379450122,660912329,200,2446995907,46400,46511,92800,93017,0.997613467781815,0.2444052529133966,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d,062ebb6ac9273666739caf9d9ec5c2e6651be39fefd227c0d255107405c69370,8f879119a8e907b5a52a4c499fb95a234b0b82603eaf3281e92ea5b9e4a8744d
3.0,7,477,3452903825,2226302795,20,3103820198,9540,9563,9540,9563,0.9975948969988497,0.22753957399495728,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781
3.0,7,477,3452903825,2226302795,50,3203215741,14310,14340,23850,23903,0.997907949790795,0.22604539659364895,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781
3.0,7,477,3452903825,2226302795,100,2125964210,23850,23911,47700,47814,0.9974488729036844,0.23294898700369635,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781
3.0,7,477,3452903825,2226302795,200,1611148864,47700,47822,95400,95636,0.9974488729036844,0.225843952486483,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781,d5bafed94729ce88779221f1e1cd6c01902f50d749c75b9a78b3a256407b1091,417b6c721c1a49acca9f4d378aa81a10b258f8129f83ea24b1682482adb93781
3.0,8,489,1268814261,2226451898,20,1340015331,9780,9804,9780,9804,0.9975520195838433,0.2218243861022953,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e
3.0,8,489,1268814261,2226451898,50,1480146099,14670,14710,24450,24514,0.9972807613868117,0.22634914386648455,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e
3.0,8,489,1268814261,2226451898,100,3797306071,24450,24522,48900,49036,0.9970638610227551,0.22296711891325913,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e
3.0,8,489,1268814261,2226451898,200,4294430053,48900,49028,97800,98064,0.9973892469609202,0.22030361969115717,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e,27caa1fe6deb6d20ed3401dcf15ed0d7bd074c0ac9d0f23eebd66745250f10a3,3149873d12e4e8547ee1c9e4ccaa0d482731937d9be96ad2fe6def19bc79f63e
3.0,9,488,3648809630,2129790888,20,1916769769,9760,9784,9760,9784,0.9975470155355682,0.2134836452061587,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734
3.0,9,488,3648809630,2129790888,50,3001120417,14640,14684,24400,24468,0.9970035412694089,0.2229202058172279,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734
3.0,9,488,3648809630,2129790888,100,3009585977,24400,24468,48800,48936,0.9972208598986432,0.21811702712303846,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734
