gamma,trial,size,unique_count,unique_proportion,retained_attempts,unique_edges
2.0,22,3,222,0.2795969773299748,1082,794
2.0,22,4,142,0.17884130982367757,1082,794
2.0,22,5,202,0.25440806045340053,1082,794
2.0,23,2,220,0.2746566791510612,1061,801
2.0,23,3,221,0.2759051186017478,1061,801
2.0,23,4,157,0.19600499375780275,1061,801
2.0,23,5,203,0.2534332084893883,1061,801
2.0,24,2,217,0.26990049751243783,1086,804
2.0,24,3,219,0.27238805970149255,1086,804
2.0,24,4,177,0.22014925373134328,1086,804
2.0,24,5,191,0.23756218905472637,1086,804
2.0,25,2,227,0.2695961995249406,1110,842
2.0,25,3,236,0.28028503562945367,1110,842
2.0,25,4,173,0.20546318289786222,1110,842
2.0,25,5,206,0.24465558194774348,1110,842
2.0,26,2,208,0.26329113924050634,1077,790
2.0,26,3,224,0.28354430379746837,1077,790
2.0,26,4,161,0.20379746835443038,1077,790
2.0,26,5,197,0.24936708860759493,1077,790
2.0,27,2,224,0.27586206896551724,1073,812
2.0,27,3,200,0.24630541871921183,1073,812
2.0,27,4,178,0.21921182266009853,1073,812
2.0,27,5,210,0.25862068965517243,1073,812
2.0,28,2,230,0.2915082382762991,1071,789
2.0,28,3,196,0.24841571609632446,1071,789
2.0,28,4,144,0.18250950570342206,1071,789
2.0,28,5,219,0.27756653992395436,1071,789
2.0,29,2,216,0.26666666666666666,1112,810
2.0,29,3,217,0.2679012345679012,1112,810
2.0,29,4,155,0.19135802469135801,1112,810
2.0,29,5,222,0.2740740740740741,1112,810
2.0,30,2,220,0.2813299232736573,1047,782
2.0,30,3,207,0.2647058823529412,1047,782
2.0,30,4,142,0.1815856777493606,1047,782
2.0,30,5,213,0.27237851662404094,1047,782
2.0,31,2,229,0.289873417721519,1071,790
2.0,31,3,204,0.2582278481012658,1071,790
2.0,31,4,152,0.19240506329113924,1071,790
2.0,31,5,205,0.25949367088607594,1071,790
2.0,32,2,235,0.28313253012048195,1115,830
2.0,32,3,225,0.2710843373493976,1115,830
2.0,32,4,166,0.2,1115,830
2.0,32,5,204,0.2457831325301205,1115,830
2.0,33,2,220,0.28608582574772434,1074,769
2.0,33,3,222,0.2886866059817945,1074,769
2.0,33,4,136,0.17685305591677503,1074,769
2.0,33,5,191,0.2483745123537061,1074,769
2.0,34,2,206,0.2594458438287154,1032,794
2.0,34,3,205,0.25818639798488663,1032,794
2.0,34,4,154,0.19395465994962216,1032,794
2.0,34,5,229,0.2884130982367758,1032,794
2.0,35,2,220,0.2631578947368421,1118,836
2.0,35,3,235,0.2811004784688995,1118,836
2.0,35,4,169,0.2021531100478469,1118,836
2.0,35,5,212,0.2535885167464115,1118,836
2.0,36,2,222,0.2690909090909091,1094,825
2.0,36,3,216,0.26181818181818184,1094,825
2.0,36,4,167,0.20242424242424242,1094,825
2.0,36,5,220,0.26666666666666666,1094,825
2.0,37,2,215,0.27458492975734355,1058,783
2.0,37,3,199,0.2541507024265645,1058,783
2.0,37,4,154,0.1966794380587484,1058,783
2.0,37,5,215,0.27458492975734355,1058,783
2.0,38,2,223,0.282994923857868,1065,788
2.0,38,3,225,0.28553299492385786,1065,788
2.0,38,4,156,0.19796954314720813,1065,788
2.0,38,5,184,0.233502538071066,1065,788
2.0,39,2,233,0.2865928659286593,1092,813
2.0,39,3,223,0.2742927429274293,1092,813
2.0,39,4,147,0.18081180811808117,1092,813
2.0,39,5,210,0.25830258302583026,1092,813
2.0,40,2,217,0.2611311672683514,1117,831
2.0,40,3,226,0.2719614921780987,1117,831
2.0,40,4,163,0.19614921780986763,1117,831
2.0,40,5,225,0.27075812274368233,1117,831
2.0,41,2,209,0.25180722891566265,1117,830
2.0,41,3,252,0.3036144578313253,1117,830
2.0,41,4,169,0.2036144578313253,1117,830
2.0,41,5,200,0.24096385542168675,1117,830
2.0,42,2,223,0.28774193548387095,1021,775
2.0,42,3,196,0.25290322580645164,1021,775
2.0,42,4,136,0.17548387096774193,1021,775
2.0,42,5,220,0.2838709677419355,1021,775
2.0,43,2,251,0.3083538083538084,1110,814
2.0,43,3,210,0.257985257985258,1110,814
2.0,43,4,156,0.19164619164619165,1110,814
2.0,43,5,197,0.24201474201474202,1110,814
2.0,44,2,231,0.2972972972972973,1051,777
2.0,44,3,197,0.25353925353925355,1051,777
2.0,44,4,160,0.2059202059202059,1051,777
2.0,44,5,189,0.24324324324324326,1051,777
2.0,45,2,240,0.2810304449648712,1140,854
2.0,45,3,228,0.26697892271662765,1140,854
2.0,45,4,172,0.20140515222482436,1140,854
2.0,45,5,214,0.2505854800936768,1140,854
2.0,46,2,199,0.24968632371392724,1067,797
2.0,46,3,232,0.29109159347553326,1067,797
2.0,46,4,159,0.19949811794228356,1067,797
2.0,46,5,207,0.25972396486825594,1067,797
2.0,47,2,222,0.26397146254458975,1083,841
2.0,47,3,236,0.2806183115338882,1083,841
2.0,47,4,168,0.19976218787158145,1083,841
2.0,47,5,215,0.2556480380499406,1083,841
2.0,48,2,231,0.2873134328358209,1086,804
2.0,48,3,204,0.2537313432835821,1086,804
2.0,48,4,157,0.19527363184079602,1086,804
2.0,48,5,212,0.263681592039801,1086,804
2.0,49,2,224,0.27450980392156865,1104,816
2.0,49,3,230,0.2818627450980392,1104,816
2.0,49,4,157,0.19240196078431374,1104,816
2.0,49,5,205,0.2512254901960784,1104,816
2.5,0,2,244,0.3128205128205128,1054,780
2.5,0,3,212,0.2717948717948718,1054,780
2.5,0,4,156,0.2,1054,780
2.5,0,5,168,0.2153846153846154,1054,780
2.5,1,2,219,0.2796934865900383,1044,783
2.5,1,3,235,0.3001277139208174,1044,783
2.5,1,4,166,0.2120051085568327,1044,783
2.5,1,5,163,0.2081736909323116,1044,783
2.5,2,2,223,0.2826362484157161,1054,789
2.5,2,3,222,0.2813688212927757,1054,789
2.5,2,4,165,0.20912547528517111,1054,789
2.5,2,5,179,0.22686945500633712,1054,789
2.5,3,2,222,0.2846153846153846,1041,780
2.5,3,3,197,0.25256410256410255,1041,780
2.5,3,4,150,0.19230769230769232,1041,780
2.5,3,5,211,0.2705128205128205,1041,780
2.5,4,2,217,0.28741721854304636,1015,755
2.5,4,3,203,0.26887417218543047,1015,755
2.5,4,4,152,0.20132450331125828,1015,755
2.5,4,5,183,0.2423841059602649,1015,755
2.5,5,2,216,0.2755102040816326,1073,784
2.5,5,3,195,0.24872448979591838,1073,784
2.5,5,4,160,0.20408163265306123,1073,784
2.5,5,5,213,0.27168367346938777,1073,784
2.5,6,2,216,0.2787096774193548,1068,775
2.5,6,3,203,0.26193548387096777,1068,775
2.5,6,4,154,0.19870967741935483,1068,775
2.5,6,5,202,0.26064516129032256,1068,775
2.5,7,2,223,0.29112271540469975,1061,766
2.5,7,3,230,0.3002610966057441,1061,766
2.5,7,4,142,0.185378590078329,1061,766
2.5,7,5,171,0.22323759791122716,1061,766
2.5,8,2,209,0.2676056338028169,1050,781
2.5,8,3,229,0.293213828425096,1050,781
2.5,8,4,162,0.20742637644046094,1050,781
2.5,8,5,181,0.23175416133162613,1050,781
2.5,9,2,235,0.2869352869352869,1113,819
2.5,9,3,246,0.30036630036630035,1113,819
2.5,9,4,163,0.199023199023199,1113,819
2.5,9,5,175,0.21367521367521367,1113,819
2.5,10,2,228,0.30039525691699603,1031,759
2.5,10,3,207,0.2727272727272727,1031,759
2.5,10,4,151,0.19894598155467721,1031,759
2.5,10,5,173,0.22793148880105402,1031,759
2.5,11,2,212,0.2796833773087071,1010,758
2.5,11,3,212,0.2796833773087071,1010,758
2.5,11,4,138,0.1820580474934037,1010,758
2.5,11,5,196,0.25857519788918204,1010,758
2.5,12,2,203,0.2746955345060893,1003,739
2.5,12,3,194,0.2625169147496617,1003,739
2.5,12,4,154,0.2083897158322057,1003,739
2.5,12,5,188,0.2543978349120433,1003,739
2.5,13,2,217,0.27892030848329047,1019,778
2.5,13,3,225,0.2892030848329049,1019,778
2.5,13,4,160,0.20565552699228792,1019,778
2.5,13,5,176,0.2262210796915167,1019,778
2.5,14,2,233,0.3061760840998686,1033,761
2.5,14,3,214,0.2812089356110381,1033,761
2.5,14,4,153,0.20105124835742444,1033,761
2.5,14,5,161,0.21156373193166886,1033,761
2.5,15,2,214,0.2830687830687831,1006,756
2.5,15,3,194,0.2566137566137566,1006,756
2.5,15,4,128,0.1693121693121693,1006,756
2.5,15,5,220,0.291005291005291,1006,756
2.5,16,2,230,0.2963917525773196,1057,776
2.5,16,3,210,0.2706185567010309,1057,776
2.5,16,4,158,0.2036082474226804,1057,776
2.5,16,5,178,0.22938144329896906,1057,776
2.5,17,2,231,0.30078125,1040,768
2.5,17,3,209,0.2721354166666667,1040,768
2.5,17,4,147,0.19140625,1040,768
2.5,17,5,181,0.23567708333333334,1040,768
2.5,18,2,249,0.32170542635658916,1071,774
2.5,18,3,206,0.2661498708010336,1071,774
2.5,18,4,155,0.20025839793281655,1071,774
2.5,18,5,164,0.21188630490956073,1071,774
2.5,19,2,228,0.2800982800982801,1077,814
2.5,19,3,236,0.28992628992628994,1077,814
2.5,19,4,157,0.1928746928746929,1077,814
2.5,19,5,193,0.2371007371007371,1077,814
2.5,20,2,236,0.29064039408866993,1076,812
2.5,20,3,224,0.27586206896551724,1076,812
2.5,20,4,171,0.2105911330049261,1076,812
2.5,20,5,181,0.2229064039408867,1076,812
2.5,21,2,222,0.28793774319066145,1068,771
2.5,21,3,205,0.26588845654993515,1068,771
