panel,group,rho,trial,apl_lcc,lcc_fraction,connected,mean_hypergraph_vertex_degree
gamma,1.5,2.0,24,8.082808716707023,0.9833333333333333,0,3.72
gamma,1.5,2.5,24,7.1866220735785955,1.0,1,4.596666666666667
gamma,1.5,3.0,24,6.843411371237458,1.0,1,5.37
gamma,1.5,3.5,24,6.714448160535117,1.0,1,6.173333333333333
gamma,1.5,4.0,24,6.445752508361204,1.0,1,7.01
gamma,1.5,4.5,24,6.338795986622074,1.0,1,7.663333333333333
gamma,1.5,5.0,24,6.250568561872909,1.0,1,8.26
gamma,2.0,1.5,0,9.787200395354583,0.95,0,3.066666666666667
n,300,1.5,0,9.787200395354583,0.95,0,3.066666666666667
gamma,2.0,2.0,0,7.814989046466044,0.9833333333333333,0,3.9766666666666666
n,300,2.0,0,7.814989046466044,0.9833333333333333,0,3.9766666666666666
gamma,2.0,2.5,0,7.505105908584169,1.0,1,4.85
n,300,2.5,0,7.505105908584169,1.0,1,4.85
gamma,2.0,3.0,0,7.231950947603122,1.0,1,5.6066666666666665
n,300,3.0,0,7.231950947603122,1.0,1,5.6066666666666665
gamma,2.0,3.5,0,7.018639910813824,1.0,1,6.256666666666667
n,300,3.5,0,7.018639910813824,1.0,1,6.256666666666667
gamma,2.0,4.0,0,6.64345596432553,1.0,1,7.013333333333334
n,300,4.0,0,6.64345596432553,1.0,1,7.013333333333334
gamma,2.0,4.5,0,6.383010033444816,1.0,1,7.666666666666667
n,300,4.5,0,6.383010033444816,1.0,1,7.666666666666667
gamma,2.0,5.0,0,6.223857302118172,1.0,1,8.263333333333334
n,300,5.0,0,6.223857302118172,1.0,1,8.263333333333334
gamma,2.0,1.5,1,9.716350902397414,0.8633333333333333,0,3.1233333333333335
n,300,1.5,1,9.716350902397414,0.8633333333333333,0,3.1233333333333335
gamma,2.0,2.0,1,8.722789738891434,0.9866666666666667,0,4.016666666666667
n,300,2.0,1,8.722789738891434,0.9866666666666667,0,4.016666666666667
gamma,2.0,2.5,1,7.270429520429521,0.99,0,4.846666666666667
n,300,2.5,1,7.270429520429521,0.99,0,4.846666666666667
gamma,2.0,3.0,1,6.896120037059634,0.9933333333333333,0,5.493333333333333
n,300,3.0,1,6.896120037059634,0.9933333333333333,0,5.493333333333333
gamma,2.0,3.5,1,6.61536231884058,1.0,1,6.323333333333333
n,300,3.5,1,6.61536231884058,1.0,1,6.323333333333333
gamma,2.0,4.0,1,6.512263099219621,1.0,1,6.973333333333334
n,300,4.0,1,6.512263099219621,1.0,1,6.973333333333334
gamma,2.0,4.5,1,6.3249052396878485,1.0,1,7.676666666666667
n,300,4.5,1,6.3249052396878485,1.0,1,7.676666666666667
gamma,2.0,5.0,1,6.1804682274247495,1.0,1,8.243333333333334
n,300,5.0,1,6.1804682274247495,1.0,1,8.243333333333334
gamma,2.0,1.5,2,8.302914642609299,0.44,0,2.88
n,300,1.5,2,8.302914642609299,0.44,0,2.88
gamma,2.0,2.0,2,10.070632998962298,0.9833333333333333,0,3.6766666666666667
n,300,2.0,2,10.070632998962298,0.9833333333333333,0,3.6766666666666667
gamma,2.0,2.5,2,8.736257443884563,0.9866666666666667,0,4.576666666666667
n,300,2.5,2,8.736257443884563,0.9866666666666667,0,4.576666666666667
gamma,2.0,3.0,2,7.751282051282051,1.0,1,5.24
n,300,3.0,2,7.751282051282051,1.0,1,5.24
gamma,2.0,3.5,2,7.013734671125976,1.0,1,5.983333333333333
n,300,3.5,2,7.013734671125976,1.0,1,5.983333333333333
gamma,2.0,4.0,2,6.7732441471571905,1.0,1,6.693333333333333
n,300,4.0,2,6.7732441471571905,1.0,1,6.693333333333333
gamma,2.0,4.5,2,6.540423634336678,1.0,1,7.293333333333333
n,300,4.5,2,6.540423634336678,1.0,1,7.293333333333333
gamma,2.0,5.0,2,6.231460423634337,1.0,1,7.836666666666667
n,300,5.0,2,6.231460423634337,1.0,1,7.836666666666667
gamma,2.0,1.5,3,10.088239466591006,0.8866666666666667,0,3.1033333333333335
n,300,1.5,3,10.088239466591006,0.8866666666666667,0,3.1033333333333335
gamma,2.0,2.0,3,9.221953188054883,0.9833333333333333,0,4.023333333333333
n,300,2.0,3,9.221953188054883,0.9833333333333333,0,4.023333333333333
gamma,2.0,2.5,3,7.496014658726523,0.9866666666666667,0,4.816666666666666
n,300,2.5,3,7.496014658726523,0.9866666666666667,0,4.816666666666666
gamma,2.0,3.0,3,6.872285845167201,0.9866666666666667,0,5.443333333333333
n,300,3.0,3,6.872285845167201,0.9866666666666667,0,5.443333333333333
gamma,2.0,3.5,3,6.5497997997998,0.99,0,6.336666666666667
n,300,3.5,3,6.5497997997998,0.99,0,6.336666666666667
gamma,2.0,4.0,3,6.259108138238573,1.0,1,7.126666666666667
n,300,4.0,3,6.259108138238573,1.0,1,7.126666666666667
gamma,2.0,4.5,3,6.141917502787068,1.0,1,7.71
n,300,4.5,3,6.141917502787068,1.0,1,7.71
gamma,2.0,5.0,3,5.935094760312151,1.0,1,8.383333333333333
n,300,5.0,3,5.935094760312151,1.0,1,8.383333333333333
gamma,2.0,1.5,4,8.832865376089847,0.6733333333333333,0,2.9066666666666667
n,300,1.5,4,8.832865376089847,0.6733333333333333,0,2.9066666666666667
gamma,2.0,2.0,4,9.38291248702871,0.9833333333333333,0,3.7933333333333334
n,300,2.0,4,9.38291248702871,0.9833333333333333,0,3.7933333333333334
gamma,2.0,2.5,4,8.294448160535117,1.0,1,4.66
n,300,2.5,4,8.294448160535117,1.0,1,4.66
gamma,2.0,3.0,4,7.305975473801561,1.0,1,5.37
n,300,3.0,4,7.305975473801561,1.0,1,5.37
gamma,2.0,3.5,4,6.934938684503902,1.0,1,6.0633333333333335
n,300,3.5,4,6.934938684503902,1.0,1,6.0633333333333335
gamma,2.0,4.0,4,6.666220735785953,1.0,1,6.6
n,300,4.0,4,6.666220735785953,1.0,1,6.6
gamma,2.0,4.5,4,6.443812709030101,1.0,1,7.273333333333333
n,300,4.5,4,6.443812709030101,1.0,1,7.273333333333333
gamma,2.0,5.0,4,6.268338907469342,1.0,1,7.93
n,300,5.0,4,6.268338907469342,1.0,1,7.93
gamma,2.0,1.5,5,8.784426877470356,0.92,0,3.2333333333333334
n,300,1.5,5,8.784426877470356,0.92,0,3.2333333333333334
gamma,2.0,2.0,5,7.727199354317999,0.9833333333333333,0,4.113333333333333
n,300,2.0,5,7.727199354317999,0.9833333333333333,0,4.113333333333333
gamma,2.0,2.5,5,7.187625697692812,0.9933333333333333,0,4.956666666666667
n,300,2.5,5,7.187625697692812,0.9933333333333333,0,4.956666666666667
gamma,2.0,3.0,5,6.716325110547462,0.9966666666666667,0,5.703333333333333
