gamma,rho,trial,mean_hypergraph_vertex_degree,attempt_level_reference,unique_fraction_attempts,unique_fraction_retained
1.5,5.0,13,8.728,12.708653623884317,0.4896,0.6641345632121541
1.5,5.0,14,8.588,12.708653623884317,0.4808,0.6662971175166297
1.5,5.0,15,8.42,12.708653623884317,0.4752,0.648471615720524
1.5,5.0,16,8.844,12.708653623884317,0.502,0.678011885467315
1.5,5.0,17,8.656,12.708653623884317,0.4876,0.6716253443526171
1.5,5.0,18,8.566,12.708653623884317,0.476,0.6474428726877041
1.5,5.0,19,8.328,12.708653623884317,0.4684,0.6473189607517966
1.5,5.0,20,8.668,12.708653623884317,0.4868,0.6599783080260304
1.5,5.0,21,8.486,12.708653623884317,0.478,0.6555128908392759
1.5,5.0,22,8.742,12.708653623884317,0.4916,0.6593347639484979
1.5,5.0,23,8.636,12.708653623884317,0.4852,0.6532040926225094
1.5,5.0,24,8.934,12.708653623884317,0.4964,0.6514435695538058
1.5,5.0,25,8.63,12.708653623884317,0.4784,0.6471861471861472
1.5,5.0,26,8.81,12.708653623884317,0.4912,0.6634251755807672
1.5,5.0,27,8.966,12.708653623884317,0.508,0.6694781233526621
1.5,5.0,28,8.836,12.708653623884317,0.4892,0.652614727854856
1.5,5.0,29,8.426,12.708653623884317,0.4756,0.6444444444444445
2.0,0.5,0,1.158,1.1998882902932915,0.688,0.945054945054945
2.0,0.5,1,1.01,1.1998882902932915,0.604,0.937888198757764
2.0,0.5,2,1.12,1.1998882902932915,0.7,0.9510869565217391
2.0,0.5,3,1.066,1.1998882902932915,0.64,0.963855421686747
2.0,0.5,4,1.108,1.1998882902932915,0.676,0.9441340782122905
2.0,0.5,5,1.11,1.1998882902932915,0.68,0.96045197740113
2.0,0.5,6,1.19,1.1998882902932915,0.688,0.9502762430939227
2.0,0.5,7,1.078,1.1998882902932915,0.668,0.9597701149425287
2.0,0.5,8,1.186,1.1998882902932915,0.716,0.9675675675675676
2.0,0.5,9,1.126,1.1998882902932915,0.664,0.9222222222222223
2.0,0.5,10,1.086,1.1998882902932915,0.656,0.9111111111111111
2.0,0.5,11,1.178,1.1998882902932915,0.712,0.9128205128205128
2.0,0.5,12,1.114,1.1998882902932915,0.668,0.9653179190751445
2.0,0.5,13,1.124,1.1998882902932915,0.644,0.9096045197740112
2.0,0.5,14,1.208,1.1998882902932915,0.696,0.9560439560439561
2.0,0.5,15,1.18,1.1998882902932915,0.708,0.9672131147540983
2.0,0.5,16,1.15,1.1998882902932915,0.684,0.9606741573033708
2.0,0.5,17,1.224,1.1998882902932915,0.708,0.9567567567567568
2.0,0.5,18,1.146,1.1998882902932915,0.692,0.9402173913043478
2.0,0.5,19,1.12,1.1998882902932915,0.664,0.9325842696629213
2.0,0.5,20,1.176,1.1998882902932915,0.704,0.9411764705882353
2.0,0.5,21,1.068,1.1998882902932915,0.632,0.9132947976878613
2.0,0.5,22,1.144,1.1998882902932915,0.692,0.9664804469273743
2.0,0.5,23,1.152,1.1998882902932915,0.696,0.9613259668508287
2.0,0.5,24,1.274,1.1998882902932915,0.724,0.9576719576719577
2.0,0.5,25,1.132,1.1998882902932915,0.628,0.9573170731707317
2.0,0.5,26,1.104,1.1998882902932915,0.664,0.9325842696629213
2.0,0.5,27,1.07,1.1998882902932915,0.66,0.9375
2.0,0.5,28,1.17,1.1998882902932915,0.7,0.9408602150537635
2.0,0.5,29,1.15,1.1998882902932915,0.696,0.9456521739130435
2.0,1.0,0,2.258,2.399776580586583,0.646,0.8972222222222223
2.0,1.0,1,2.14,2.399776580586583,0.634,0.9005681818181818
2.0,1.0,2,2.084,2.399776580586583,0.628,0.8945868945868946
2.0,1.0,3,2.122,2.399776580586583,0.624,0.8715083798882681
2.0,1.0,4,2.192,2.399776580586583,0.648,0.8975069252077562
2.0,1.0,5,2.252,2.399776580586583,0.67,0.8792650918635171
2.0,1.0,6,2.118,2.399776580586583,0.636,0.8664850136239782
2.0,1.0,7,2.068,2.399776580586583,0.614,0.8575418994413407
2.0,1.0,8,2.114,2.399776580586583,0.648,0.8876712328767123
2.0,1.0,9,2.144,2.399776580586583,0.638,0.8885793871866295
2.0,1.0,10,2.048,2.399776580586583,0.606,0.8964497041420119
2.0,1.0,11,2.116,2.399776580586583,0.646,0.8898071625344353
2.0,1.0,12,2.204,2.399776580586583,0.668,0.8835978835978836
2.0,1.0,13,2.232,2.399776580586583,0.648,0.9025069637883009
2.0,1.0,14,2.136,2.399776580586583,0.65,0.885558583106267
2.0,1.0,15,2.11,2.399776580586583,0.65,0.8977900552486188
2.0,1.0,16,2.084,2.399776580586583,0.626,0.9020172910662824
2.0,1.0,17,2.104,2.399776580586583,0.648,0.9126760563380282
2.0,1.0,18,2.102,2.399776580586583,0.62,0.8806818181818182
2.0,1.0,19,2.172,2.399776580586583,0.638,0.8836565096952909
2.0,1.0,20,2.224,2.399776580586583,0.646,0.8873626373626373
2.0,1.0,21,2.194,2.399776580586583,0.638,0.9166666666666666
2.0,1.0,22,2.216,2.399776580586583,0.67,0.9203296703296703
2.0,1.0,23,2.208,2.399776580586583,0.664,0.8829787234042553
2.0,1.0,24,2.1,2.399776580586583,0.618,0.8778409090909091
2.0,1.0,25,1.996,2.399776580586583,0.594,0.868421052631579
2.0,1.0,26,2.206,2.399776580586583,0.65,0.8977900552486188
2.0,1.0,27,2.166,2.399776580586583,0.658,0.8820375335120644
2.0,1.0,28,2.198,2.399776580586583,0.624,0.8863636363636364
2.0,1.0,29,2.2,2.399776580586583,0.63,0.863013698630137
2.0,1.5,0,2.986,3.5996648708798746,0.5853333333333334,0.8474903474903475
2.0,1.5,1,3.044,3.5996648708798746,0.616,0.8619402985074627
2.0,1.5,2,3.064,3.5996648708798746,0.6146666666666667,0.8584729981378026
2.0,1.5,3,3.236,3.5996648708798746,0.6493333333333333,0.8604240282685512
2.0,1.5,4,3.098,3.5996648708798746,0.6026666666666667,0.849624060150376
2.0,1.5,5,3.216,3.5996648708798746,0.628,0.8706099815157117
2.0,1.5,6,3.27,3.5996648708798746,0.6466666666666666,0.8738738738738738
2.0,1.5,7,3.076,3.5996648708798746,0.5973333333333334,0.8484848484848485
2.0,1.5,8,3.122,3.5996648708798746,0.6266666666666667,0.8752327746741154
2.0,1.5,9,3.152,3.5996648708798746,0.62,0.8485401459854015
2.0,1.5,10,3.0,3.5996648708798746,0.588,0.8384030418250951
2.0,1.5,11,3.032,3.5996648708798746,0.6106666666666667,0.8282097649186256
2.0,1.5,12,3.046,3.5996648708798746,0.6013333333333334,0.8477443609022557
2.0,1.5,13,3.07,3.5996648708798746,0.6133333333333333,0.8487084870848709
2.0,1.5,14,3.112,3.5996648708798746,0.6093333333333333,0.8494423791821561
